weight,word,category,certainty,notes
1,eukaryotic translation initiation factor 2-alpha kinase 1 isoform X1,,,
1,eukaryotic translation initiation factor 4 gamma 1-like,,,
1,exocyst complex component 3-like protein,,,
1,Exonuclease 1,,,
1,extended synaptotagmin-1-like,,,
1,Extended synaptotagmin-1-like protein (Fragment),,,
1,F-box and leucine-rich repeat protein 15,,,
1,F-box domain-containing protein,,,
1,F-box only protein 8 (Fragment),,,
1,F-box/LRR-repeat protein 6,,,
1,FAD-binding PCMH-type domain-containing protein,,,
1,Family with sequence similarity 110 member C,,,
1,Family with sequence similarity 151 member B,,,
1,Fascin,,,
1,"FAST kinase domain-containing protein 1, mitochondrial",,,
1,Fatty acid synthase,,,
1,"Fatty acid-binding protein, heart",,,
1,FDX-ACB domain-containing protein,,,
1,FERM domain containing 4A,,,
1,FERM domain-containing protein,,,
1,FERM domain-containing protein (Fragment),,,
1,Ferric-chelate reductase 1,,,
1,FGGY_N domain-containing protein,,,
1,Fibrillin-3,,,
1,fibroblast growth factor receptor homolog 1-like,,,
1,Fibropellin-1,,,
1,Fibulin-1,,,
1,Filamin A interacting protein 1,,,
1,Filamin-A,,,
1,Flotillin,,,
1,Fork-head domain-containing protein,,,
1,forkhead box protein P4-like isoform X7,,,
1,Formin-2,,,
1,"Fructose-1,6-bisphosphatase 1",,,
1,Fucose mutarotase,,,
1,FYVE-type domain-containing protein,,,
1,G protein pathway suppressor 2-like,,,
1,G-protein coupled receptor 4-like,,,
1,Galactokinase,,,
1,gamma-aminobutyric acid receptor subunit rho-3-like,,,
1,Gamma-glutamyltransferase 5a,,,
1,Gamma-synuclein,,,
1,Gasdermin A,,,
1,GC-rich sequence DNA-binding factor (Fragment),,,
1,"GDP-mannose 4,6-dehydratase",,,
1,"General transcription factor IIH, polypeptide 1",,,
1,Gephyrin,,,
1,GLTP domain-containing protein,,,
1,Glucose-6-phosphate 1-dehydrogenase,,,
1,"Glucuronidase, beta",,,
1,Glutamate receptor-interacting protein 1,,,
1,Glutathione S-transferase kappa,,,
1,glycerophosphocholine phosphodiesterase GPCPD1-like isoform X1,,,
1,Glycine cleavage system P protein,,,
1,Glycogen debranching enzyme (Fragment),,,
1,glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-B-like,,,
1,Glycosyltransferase-like domain-containing protein 2,,,
1,Glyoxylate reductase/hydroxypyruvate reductase,,,
1,glypican-5-like isoform X2,,,
1,Golgin A3,,,
1,Golgin A4,,,
1,Golgin subfamily A member 4,,,
1,GPI inositol-deacylase,,,
1,GRIP and coiled-coil domain containing 1,,,
1,Growth differentiation factor 10b,,,
1,Guanine nucleotide-binding protein subunit alpha-13,,,
1,guanine nucleotide-binding protein-like 3-like protein,,,
1,GYF_2 domain-containing protein,,,
1,H15 domain-containing protein,,,
1,"heat shock protein 75 kDa, mitochondrial-like",,,
1,Heat shock protein HSP 90-alpha,,,
1,Heavy metal-binding protein HIP,,,
1,HECT domain-containing protein,,,
1,helicase SRCAP isoform X3,,,
1,Helicase with zinc finger 2,,,
1,Hemicentin-1,,,
1,Hepatocyte growth factor receptor,,,
1,Histidine triad Nucleotide-binding protein 3,,,
1,Histone deacetylase 4 (Fragment),,,
1,histone H1-like isoform X1,,,
1,histone-lysine N-methyltransferase 2E-like,,,
1,histone-lysine N-methyltransferase NSD3-like isoform X1,,,
1,"Histone-lysine N-methyltransferase, H3 lysine-9 specific 5",,,
1,Homeobox protein TGIF2LX,,,
1,Homeobox-containing protein 1,,,
1,Host cell factor,,,
1,Host cell factor C1a,,,
1,HTH CENPB-type domain-containing protein,,,
1,HTH_Tnp_Tc3_2 domain-containing protein,,,
1,Hyaluronan mediated motility receptor,,,
1,Hydroxysteroid (11-beta) dehydrogenase 1-like a,,,
1,Hypoxia-inducible factor alpha-like isoform a,,,
1,IG domain-containing protein,,,
1,Inhibitory synaptic factor family member 2B,,,
1,"Inositol 1,4,5-trisphosphate receptor, type 3",,,
1,Inositol 3-trisphosphate receptor type (Fragment),,,
1,Inositol oxygenase,,,
1,INSC_LBD domain-containing protein,,,
1,Integrase catalytic domain-containing protein,,,
1,Integrator complex subunit 9,,,
1,Integrin alpha-9,,,
1,Integrin beta,,,
1,Interferon beta-1,,,
1,interferon-induced GTP-binding protein Mx2-like,,,
1,interferon-induced GTP-binding protein Mx3-like,,,
1,interferon-induced protein 44-like,,,
1,interferon-induced very large GTPase 1-like,,,
1,interferon-induced very large GTPase 1-like isoform X1,,,
1,Interleukin-1 receptor-associated kinase 4,,,
1,Interleukin-22 receptor subunit alpha-2,,,
1,Intraflagellar transport 140,,,
1,Ionotropic glutamate receptor kainate 1B (Fragment),,,
1,iroquois-class homeodomain protein IRX-1-like,,,
1,"isoleucine--tRNA ligase, cytoplasmic",,,
1,J domain-containing protein,,,
1,Joining chain of multimeric IgA and IgM,,,
1,Jumonji domain containing 1C,,,
1,jun dimerization protein 2-like,,,
1,Katanin p60 ATPase-containing subunit A-like 2,,,
1,kelch repeat and BTB domain-containing protein 13-like,,,
1,kelch-like protein 40b,,,
1,Keratin 23,,,
1,"Keratin, type I microfibrillar, 47.6 kDa",,,
1,KIAA1324,,,
1,Kielin/chordin-like protein,,,
1,Kinase,,,
1,Kinectin,,,
1,Kinectin 1,,,
1,Kinesin family member 11,,,
1,Kinesin family member 7,,,
1,Kinesin-like protein,,,
1,KN motif and ankyrin repeat domain-containing protein 1 isoform X1,,,
1,Kynureninase,,,
1,Laminin subunit beta 2,,,
1,laminin subunit gamma-1-like,,,
1,laminin subunit gamma-3-like,,,
1,LanC-like protein 2 (Fragment),,,
1,Large tumor suppressor kinase 1,,,
1,Lariat debranching enzyme,,,
1,Leucine rich repeat containing 31,,,
1,Leucine rich repeat kinase 1,,,
1,Leucine zipper and EF-hand containing transmembrane protein 1,,,
1,leucine-rich alpha-2-glycoprotein-like,,,
1,leucine-rich repeat serine/threonine-protein kinase 2 isoform X1,,,
1,Leucine-rich repeat transmembrane neuronal protein 4,,,
1,leucine-rich repeat-containing protein 14B,,,
1,Leucine-rich repeats and WD repeat domain containing 1,,,
1,LIM domain 7,,,
1,LIM domain only protein 7 isoform X4,,,
1,LIM domain-containing protein 1,,,
1,Lipase maturation factor,,,
1,Lipoprotein lipase,,,
1,lipoxygenase homology domain-containing protein 1,,,
1,LON peptidase N-terminal domain and RING finger protein 1-like isoform X1,,,
1,long-chain-fatty-acid--CoA ligase 3-like,,,
1,long-chain-fatty-acid--CoA ligase 5,,,
1,Low density lipoprotein receptor class A domain containing 1,,,
1,Low molecular weight neuronal intermediate filament,,,
1,LOW QUALITY PROTEIN: lanC-like protein 3,,,
1,LOW QUALITY PROTEIN: pecanex-like protein 4,,,
1,LOW QUALITY PROTEIN: RNA-binding protein 33,,,
1,LRR binding FLII interacting protein 1,,,
1,LRRC24 protein,,,
1,Lysine demethylase 3A,,,
1,lysine-specific demethylase 6A-like isoform X2,,,
1,lysosomal acid phosphatase isoform X1,,,
1,Lysosomal trafficking regulator,,,
1,macrophage mannose receptor 1-like,,,
1,Macrophage migration inhibitory factor,,,
1,"Major histocompatibility complex, class II, DR alpha",,,
1,Malate dehydrogenase,,,
1,"Mannose receptor, C type 2",,,
1,Mannosyltransferase,,,
1,MAPK interacting serine/threonine kinase 1,,,
1,MARCKS-related protein-like,,,
1,matrilin-2-like isoform X3,,,
1,Matrin-3,,,
1,meiosis-specific coiled-coil domain-containing protein MEIOC isoform X1,,,
1,Merlin,,,
1,Mesothelin-like protein,,,
1,Metallothionein-B,,,
1,Methionine synthase,,,
1,Methylmalonyl-CoA mutase,,,
1,MFS domain-containing protein,,,
1,MHC class II antigen (Fragment),,,
1,MHC class II DQ alpha,,,
1,MICAL-like protein 2,,,
1,microtubule-actin cross-linking factor 1-like isoform X8,,,
1,Microtubule-associated protein 1A,,,
1,Migration and invasion-inhibitory protein,,,
1,Mitochondrial 2-oxoglutarate/malate carrier protein,,,
1,Mitochondrial antiviral signaling protein,,,
1,Mitogen-activated protein kinase-binding protein 1,,,
1,"Moloney leukemia virus 10b, tandem duplicate 2",,,
1,Molybdopterin molybdenumtransferase,,,
1,MORC family CW-type zinc finger protein 3,,,
1,MRN complex interacting protein,,,
1,MTSS I-BAR domain containing 2,,,
1,mucin-5AC-like,,,
1,Multidrug resistance protein 1,,,
1,Multiple EGF-like-domains 6b,,,
1,Multiple EGF-like-domains 8,,,
1,Multiple epidermal growth factor-like domains protein 6,,,
1,Muscleblind like splicing regulator 1,,,
1,Myeloid-specific peroxidase,,,
1,MYND-type domain-containing protein,,,
1,myomegalin-like isoform X6,,,
1,Myomesin 1,,,
1,"Myosin heavy chain, striated muscle",,,
1,Myosin IA,,,
1,Myosin light chain 2,,,
1,Myosin light chain 3,,,
1,myosin phosphatase Rho-interacting protein-like isoform X1,,,
1,myosin-10 isoform X12,,,
1,myotubularin-related protein 4 isoform X1,,,
1,N-acetylglucosamine-1-phosphate transferase subunit gamma,,,
1,N-acetylneuraminate lyase,,,
1,N-acetyltransferase domain-containing protein,,,
1,"N(alpha)-acetyltransferase 80, NatH catalytic subunit",,,
1,NADH-ubiquinone oxidoreductase chain 1,,,
1,"nascent polypeptide-associated complex subunit alpha, muscle-specific form-like isoform X1",,,
1,Nebulin-related anchoring protein,,,
1,Nectin 2,,,
1,Neural cell adhesion molecule 1b,,,
1,neural cell adhesion molecule L1.1-like isoform X1,,,
1,Neurexin 1,,,
1,Neurexophilin,,,
1,Neurite extension and migration factor b,,,
1,neurofascin isoform X5,,,
1,Neuronal acetylcholine receptor subunit alpha-2,,,
1,Neuronal PAS domain-containing protein 4,,,
1,Neuropilin and tolloid like 2,,,
1,NFX1-type zinc finger-containing protein 1,,,
1,Nitric oxide associated 1,,,
1,Nitric oxide synthase,,,
1,"nuclear factor 7, brain-like",,,
1,Nuclear factor related to kappaB binding protein,,,
1,nuclear receptor subfamily 1 group D member 2-like isoform X1,,,
1,Nucleoside diphosphate kinase B,,,
1,NUT domain-containing protein,,,
1,Obscurin,,,
1,Obscurin like 1,,,
1,Olfactomedin 4,,,
1,Opioid receptor kappa 1,,,
1,Origin recognition complex subunit 6,,,
1,Ovomucoid,,,
1,Palmitoyltransferase,,,
1,Pantetheinase (Fragment),,,
1,"Par-3 family cell polarity regulator alpha, b",,,
1,partitioning defective 3 homolog isoform X2,,,
1,parvalbumin beta 1-like,,,
1,Patched domain-containing protein 3,,,
1,PB1 domain-containing protein,,,
1,PDZ and LIM domain 5,,,
1,PDZ domain-containing protein 7,,,
1,Peptidase S1 domain-containing protein (Fragment),,,
1,Peptidase S59 domain-containing protein,,,
1,"Peptidyl-tRNA hydrolase 2, mitochondrial",,,
1,Peptidylprolyl isomerase,,,
1,Period circadian regulator 2,,,
1,peroxisomal sarcosine oxidase,,,
1,Peroxisome biogenesis factor 1,,,
1,PH and SEC7 domain-containing protein 3-like isoform X1,,,
1,PH domain-containing protein (Fragment),,,
1,Phosphatase Slingshot-like protein 2,,,
1,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN",,,
1,Phosphatidylinositol N-acetylglucosaminyltransferase subunit C,,,
1,Phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha,,,
1,Phosphodiesterase,,,
1,Phospholipase A(2),,,
1,Phosphopantothenoylcysteine decarboxylase,,,
1,Phosphorylated adaptor for RNA export,,,
1,Phosphotransferase,,,
1,Piccolo presynaptic cytomatrix protein,,,
1,PID domain-containing protein,,,
1,Plastin-1,,,
1,Plastin-3 (Fragment),,,
1,plastin-3-like,,,
1,Platelet-activating factor receptor,,,
1,PLCXc domain-containing protein,,,
1,Pleckstrin homology domain containing M3,,,
1,"Pleckstrin homology domain containing, family G (with RhoGef domain) member 4",,,
1,Pleckstrin homology domain-containing family G member 3,,,
1,Pleckstrin homology domain-containing family M member 3,,,
1,pleckstrin homology-like domain family B member 1 isoform X1,,,
1,PNPLA domain-containing protein,,,
1,poly [ADP-ribose] polymerase 12-like,,,
1,Polycystic kidney disease protein 1-like 2,,,
1,"Polymerase (DNA directed), eta",,,
1,Polypeptide N-acetylgalactosaminyltransferase,,,
1,"Polyribonucleotide nucleotidyltransferase 1, mitochondrial",,,
1,potassium channel subfamily K member 10-like isoform X1,,,
1,Potassium voltage-gated channel subfamily H member 5 (Fragment),,,
1,Potassium voltage-gated channel subfamily V member 2,,,
1,"Potassium voltage-gated channel, subfamily H (eag-related), member 6a",,,
1,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2,,,
1,PPARG coactivator 1 alpha,,,
1,PPM-type phosphatase domain-containing protein (Fragment),,,
1,Prefoldin subunit 4,,,
1,probable inactive glycosyltransferase 25 family member 3,,,
1,proline-rich protein 5-like isoform X1,,,
1,Prominin-1,,,
1,Prostaglandin E2 receptor EP4 subtype,,,
1,Proteasome assembly chaperone 3,,,
1,Proteasome subunit alpha type-7,,,
1,Proteasome subunit beta,,,
1,protein CBFA2T3-like isoform X1,,,
1,protein FAM117B-like,,,
1,protein FAM57B,,,
1,protein Jumonji-like isoform X1,,,
1,"Protein kinase, cAMP-dependent, regulatory, type II, alpha, B",,,
1,Protein MEMO1,,,
1,protein MGARP isoform X1,,,
1,Protein muscleblind,,,
1,protein Niban,,,
1,Protein phosphatase 1 regulatory inhibitor subunit 14C,,,
1,protein piccolo-like isoform X4,,,
1,Protein PTHB1,,,
1,Protein S100-A6,,,
1,protein shisa-7-like isoform X1,,,
1,protein SMG5,,,
1,Protein Spindly,,,
1,Protein tyrosine phosphatase receptor type N,,,
1,Protein tyrosine phosphatase receptor type Z1,,,
1,protein virilizer homolog,,,
1,protein-methionine sulfoxide oxidase mical1-like isoform X1,,,
1,protein-methionine sulfoxide oxidase mical3b-like,,,
1,Proteinase-activated receptor 2 (Fragment),,,
1,Protocadherin alpha 11,,,
1,Protocadherin Fat 1 (Fragment),,,
1,Protogenin B,,,
1,PseudoU_synth_1 domain-containing protein,,,
1,Putative ATP-dependent RNA helicase DDX52,,,
1,Putative G-protein coupled receptor 125 (Fragment),,,
1,Putative N-ethylmaleimide sensitive fusion protein (Fragment),,,
1,PX domain-containing protein,,,
1,"pyruvate carboxylase, mitochondrial-like",,,
1,Pyruvate dehydrogenase E1 component subunit beta,,,
1,Rabphilin 3A like (without C2 domains),,,
1,Radial spoke head 1 homolog,,,
1,RanBD1 domain-containing protein,,,
1,RAP80_UIM domain-containing protein,,,
1,ras GTPase-activating protein nGAP isoform X1,,,
1,Ras-related protein Rab-27A (Fragment),,,
1,Receptor protein serine/threonine kinase (Fragment),,,
1,receptor-type tyrosine-protein phosphatase R,,,
1,regulator of microtubule dynamics protein 3,,,
1,Relaxin family peptide receptor 2a,,,
1,"REV3 like, DNA directed polymerase zeta catalytic subunit",,,
1,RFX-type winged-helix domain-containing protein,,,
1,RGS domain-containing protein,,,
1,Rho GTPase activating protein 15,,,
1,Rho GTPase activating protein 5,,,
1,Rho guanine nucleotide exchange factor 11,,,
1,Rho guanine nucleotide exchange factor 17,,,
1,Rho-associated protein kinase 1 (Fragment),,,
1,rho-associated protein kinase 2-like isoform X1,,,
1,Rho-GAP domain-containing protein,,,
1,Rhodopsin (Fragment),,,
1,Ribonuclease ZC3H12A,,,
1,Ribosomal_L2_C domain-containing protein,,,
1,Ribosomal_S7 domain-containing protein,,,
1,"RIC1 homolog, RAB6A GEF complex partner 1",,,
1,RING finger and transmembrane domain-containing protein 1 (Fragment),,,
1,Ring finger and WD repeat domain 3,,,
1,RING finger protein 151-like,,,
1,RNA guanine-7 methyltransferase activating subunit,,,
1,RNB domain-containing protein,,,
1,roundabout homolog 2-like isoform X1,,,
1,RRM domain-containing protein (Fragment),,,
1,RT_RNaseH domain-containing protein,,,
1,Ryanodine receptor 1,,,
1,ryanodine receptor 1-like isoform X1,,,
1,SAP domain-containing protein,,,
1,SCO-spondin isoform X4,,,
1,"SEC24 homolog C, COPII coat complex component",,,
1,SECIS binding protein 2 like,,,
1,secretagogin-like isoform X2,,,
1,Seizure related 6 homolog,,,
1,Semaphorin 3F,,,
1,serine protease 27-like,,,
1,Serine/threonine-protein kinase Nek11,,,
1,Serine/threonine-protein kinase PLK,,,
1,serine/threonine-protein kinase PLK4-like isoform X3,,,
1,serine/threonine-protein kinase TAO1-like,,,
1,serine/threonine-protein kinase ULK1 isoform X3,,,
1,Serpin B10 (Fragment),,,
1,Serpin B8,,,
1,Serpin family B member 5,,,
1,SET domain-containing protein,,,
1,Sex-determining region Y protein,,,
1,SH2B adaptor protein 2,,,
1,SH3 and multiple ankyrin repeat domains protein 3,,,
1,SH3 domain containing 21,,,
1,short transient receptor potential channel 1,,,
1,Short transient receptor potential channel 7,,,
1,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",,,
1,Shroom family member 2,,,
1,Si:dkey-119f1.1,,,
1,SKI family transcriptional corepressor 1b,,,
1,Small conductance calcium-activated potassium channel (Fragment),,,
1,Small G protein signaling modulator 1,,,
1,SMC hinge domain-containing protein (Fragment),,,
1,SMC5-SMC6 complex localization factor protein 2-like isoform X1,,,
1,Smoothelin,,,
1,SNF2 histone linker PHD RING helicase,,,
1,Sodium/potassium-transporting ATPase subunit alpha,,,
1,Solute carrier family 16 member 3,,,
1,Solute carrier family 25 member 12,,,
1,Solute carrier family 25 member 21,,,
1,Solute carrier family 25 member 3,,,
1,Sortilin related receptor 1,,,
1,sortilin-related receptor isoform X1,,,
1,Sorting nexin,,,
1,Spatacsin,,,
1,Spectrin repeat containing nuclear envelope protein 2,,,
1,"Spectrin repeat containing, nuclear envelope 1b",,,
1,Sphingomyelin phosphodiesterase acid like 3B,,,
1,spindle assembly checkpoint kinase-like,,,
1,Sprouty RTK signaling antagonist 2,,,
1,SSD domain-containing protein,,,
1,"Steroid 17-alpha-hydroxylase/17,20 lyase",,,
1,Stromal interaction molecule 2,,,
1,structural maintenance of chromosomes protein 2,,,
1,Superoxide dismutase [Cu-Zn],,,
1,supervillin-like isoform X5,,,
1,Suppressor of tumorigenicity 14 protein homolog,,,
1,Synaptosome associated protein 29,,,
1,Syndecan binding protein 2,,,
1,T cell leukemia homeobox 1,,,
1,T-box transcription factor 15,,,
1,T-cell leukemia homeobox protein 3,,,
1,T-cell surface antigen CD2-like isoform X1,,,
1,T-cell surface glycoprotein CD4,,,
1,T-complex protein 1 subunit eta (Fragment),,,
1,Taperin,,,
1,TATA-binding protein-associated factor 172,,,
1,Tau tubulin kinase 1,,,
1,Tau-tubulin kinase 1,,,
1,TBC1 domain family member 1 (Fragment),,,
1,TBC1 domain family member 12,,,
1,TBC1 domain family member 30,,,
1,TBC1 domain family member 5,,,
1,TBC1 domain family member 9,,,
1,"TBC1 domain family, member 2",,,
1,"TBC1 domain family, member 2B",,,
1,Tektin-1,,,
1,"TEL2, telomere maintenance 2, homolog (S. cerevisiae)",,,
1,Telomerase reverse transcriptase,,,
1,Telomeric repeat-binding factor 2,,,
1,Teneurin-3,,,
1,Testis expressed 2,,,
1,testis-expressed sequence 11 protein isoform X3,,,
1,Tetraspanin,,,
1,Tetratricopeptide repeat protein 21B,,,
1,tetratricopeptide repeat protein 28-like isoform X1,,,
1,tetratricopeptide repeat protein 36,,,
1,TFIIS N-terminal domain-containing protein,,,
1,Thimet oligopeptidase 1,,,
1,Thioredoxin domain-containing protein,,,
1,"Thrombospondin, type I, domain containing 1",,,
1,Thymidine phosphorylase,,,
1,Thyroid hormone receptor interactor 11,,,
1,TIR domain-containing protein,,,
1,TNFAIP3-interacting protein 1-like isoform X4,,,
1,TNFRSF1A associated via death domain,,,
1,TOG domain-containing protein,,,
1,Toll-like receptor 1 (Fragment),,,
1,Toll-like receptor 4,,,
1,TPD52 like 2,,,
1,TPR_MLP1_2 domain-containing protein,,,
1,Transcription factor 12 (Fragment),,,
1,transcriptional regulator Kaiso-like,,,
1,Transcriptional repressor GATA binding 1,,,
1,Transient receptor potential cation channel subfamily M member 1,,,
1,Transmembrane and coiled-coil domain family 3,,,
1,Transmembrane anterior posterior transformation protein 1-like protein,,,
1,Transmembrane O-methyltransferase,,,
1,Transmembrane protein 120B,,,
1,Transmembrane protein 200C,,,
1,trichohyalin-like isoform X1,,,
1,"Trifunctional enzyme subunit alpha, mitochondrial",,,
1,Tripartite motif containing 3a,,,
1,tripartite motif-containing protein 16-like,,,
1,Tripartite motif-containing protein 3,,,
1,Tripeptidyl-peptidase 2,,,
1,tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6,,,
1,tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4,,,
1,tropomyosin alpha-3 chain isoform X5,,,
1,Troponin C fast,,,
1,Troponin I-like,,,
1,TsaA-like domain-containing protein,,,
1,TSPY like 5,,,
1,TTC5_OB domain-containing protein,,,
1,Tubulin alpha chain,,,
1,Tudor domain containing 9,,,
1,tudor domain-containing protein 7 isoform X1,,,
1,TYRO3 protein tyrosine kinase,,,
1,Tyrosinase,,,
1,Tyrosine-protein kinase receptor (Fragment),,,
1,U-box domain containing 5,,,
1,U11/U12 small nuclear ribonucleoprotein 25 kDa protein,,,
1,Ubiquinol-cytochrome c reductase core protein 1,,,
1,"Ubiquinone biosynthesis O-methyltransferase, mitochondrial",,,
1,UBIQUITIN_CONJUGAT_2 domain-containing protein,,,
1,Ubiquitination factor E4B,,,
1,UDENN FNIP1/2-type domain-containing protein,,,
1,UDP-N-acetylhexosamine pyrophosphorylase-like protein 1,,,
1,UmuC domain-containing protein,,,
1,Unc-45 myosin chaperone B,,,
1,uncharacterized protein C17orf53-like isoform X2,,,
1,Uncharacterized protein C17orf68-like protein (Fragment),,,
1,Uncharacterized protein C20orf195-like protein (Fragment),,,
1,Uncharacterized protein CXorf57 (Fragment),,,
1,uncharacterized protein LOC106581144,,,
1,uncharacterized protein LOC106584876,,,
1,uncharacterized protein LOC106604769,,,
1,uncharacterized protein LOC106611023 isoform X1,,,
1,uncharacterized protein LOC106611247 isoform X2,,,
1,uncharacterized protein LOC108274046,,,
1,unconventional myosin-IXb-like,,,
1,UPF0573 protein C2orf70-like A,,,
1,USP domain-containing protein,,,
1,utrophin-like isoform X1,,,
1,V-type proton ATPase subunit a,,,
1,V-type proton ATPase subunit C,,,
1,V(D)J recombination-activating protein 1 (Fragment),,,
1,Vacuolar protein sorting 13 homolog A,,,
1,Vesicle-associated protein,,,
1,VHS domain-containing protein,,,
1,Vitellogenin Ab,,,
1,Vitellogenin domain-containing protein,,,
1,Vitellogenin-3,,,
1,VLIG-type G domain-containing protein,,,
1,Voltage-dependent L-type calcium channel subunit alpha,,,
1,VWFA domain-containing protein (Fragment),,,
1,W2 domain-containing protein,,,
1,WAS protein family homolog 1,,,
1,WASH complex subunit strumpellin,,,
1,WD and tetratricopeptide repeats protein 1 isoform X1,,,
1,WD repeat domain 24,,,
1,WD repeat domain 36,,,
1,WD repeat domain 55,,,
1,WD repeat-containing and planar cell polarity effector protein fritz-like,,,
1,WD_REPEATS_REGION domain-containing protein,,,
1,WD_REPEATS_REGION domain-containing protein (Fragment),,,
1,Wiskott-Aldrich syndrome protein family member 3,,,
1,WNK lysine deficient protein kinase 2,,,
1,Xanthine dehydrogenase,,,
1,Xpo1 domain-containing protein,,,
1,Zgc:194887,,,
1,Zgc:55262,,,
1,zinc finger and BTB domain-containing protein 49 isoform X1,,,
1,Zinc finger CCCH domain-containing protein 7B,,,
1,Zinc finger CCHC domain-containing protein 2 (Fragment),,,
1,Zinc finger MYM-type protein 3,,,
1,Zinc finger protein 112,,,
1,Zinc finger protein 114,,,
1,Zinc finger protein 148,,,
1,zinc finger protein 40-like isoform X1,,,
1,zinc finger protein 436-like isoform X1,,,
1,zinc finger protein 618 isoform X1,,,
1,Zinc finger protein DPF3,,,
1,Zonadhesin,,,
1,ZZ-type domain-containing protein,,,